,AGE,GENDER,DOMAIN,PHD,YEARSEXP,UNIVERSITY,UOC_POSITION,OTHER_POSITION,OTHERSTATUS,USERWIKI,PU1,PU2,PU3,PEU1,PEU2,PEU3,ENJ1,ENJ2,QU1,QU2,QU3,QU4,QU5,VIS1,VIS2,VIS3,IM1,IM2,IM3,SA1,SA2,SA3,USE1,USE2,USE3,USE4,USE5,PF1,PF2,PF3,JR1,JR2,BI1,BI2,INC1,INC2,INC3,INC4,EXP1,EXP2,EXP3,EXP4,EXP5
88,37,1,6.0,1,10.0,1,2.0,,,1.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,3.0,3.0,4.0,2.0,5.0
89,50,1,4.0,1,20.0,1,2.0,,,0.0,2.0,2.0,2.0,5.0,4.0,5.0,3.0,,3.0,3.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,5.0,1.0,2.0
90,43,1,4.0,1,16.0,1,3.0,,,1.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
91,49,1,6.0,1,25.0,1,2.0,,,0.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0
92,35,1,6.0,1,11.0,1,3.0,,,0.0,2.0,3.0,3.0,5.0,3.0,,3.0,4.0,3.0,3.0,1.0,,3.0,1.0,,1.0,1.0,4.0,4.0,3.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,3.0,1.0,1.0,,,3.0,1.0,3.0,3.0,3.0,1.0,2.0
93,46,1,3.0,1,22.0,1,2.0,,,0.0,4.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,1.0,4.0
94,40,1,6.0,1,15.0,1,2.0,,,0.0,4.0,4.0,4.0,2.0,5.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0
95,35,1,6.0,0,6.0,1,3.0,,,0.0,3.0,3.0,4.0,5.0,5.0,,5.0,5.0,4.0,5.0,4.0,3.0,4.0,,,1.0,,5.0,,5.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,1.0,1.0
98,55,1,1.0,1,9.0,1,2.0,,,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,5.0
99,45,1,5.0,0,17.0,1,4.0,,,0.0,2.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,1.0,3.0
100,45,1,1.0,1,18.0,1,2.0,,,0.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,,2.0,1.0,2.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,1.0,1.0
101,37,1,6.0,1,9.0,1,2.0,,,0.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,4.0
102,35,1,6.0,0,11.0,1,4.0,,,0.0,2.0,2.0,2.0,5.0,3.0,3.0,,3.0,2.0,2.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,1.0,5.0,4.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0
103,33,1,5.0,0,10.0,1,4.0,,,0.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,3.0,3.0,1.0,5.0,4.0,4.0,5.0,1.0,4.0,4.0,1.0,1.0
104,44,1,1.0,1,,1,2.0,,,0.0,1.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,5.0,4.0,4.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,5.0
105,38,1,6.0,0,8.0,1,3.0,,,0.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0,4.0,2.0,4.0,4.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0
106,48,1,5.0,1,14.0,1,2.0,,,0.0,2.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,1.0,2.0,4.0,2.0,5.0,4.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0,2.0,2.0,3.0,5.0,2.0,2.0,4.0,2.0,5.0,3.0,1.0,2.0
108,33,1,6.0,1,,1,3.0,,,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0
111,32,1,1.0,1,3.0,1,3.0,,,0.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0
112,35,1,6.0,0,7.0,1,3.0,,,0.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,3.0,1.0,2.0,4.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,1.0,1.0
113,34,1,1.0,1,,1,2.0,,,0.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,4.0
114,38,1,6.0,1,13.0,1,3.0,,,0.0,3.0,3.0,2.0,5.0,5.0,2.0,4.0,4.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,1.0,1.0,3.0,1.0,4.0,2.0,4.0,1.0,5.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1.0
115,41,1,6.0,1,11.0,1,3.0,,,0.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0,5.0,4.0,3.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,1.0,4.0
116,31,1,1.0,0,5.0,1,4.0,,,0.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,2.0
117,42,1,1.0,0,4.0,1,4.0,,,0.0,1.0,1.0,1.0,5.0,2.0,,4.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,,1.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0
118,33,1,1.0,0,8.0,1,4.0,,,0.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,3.0
119,40,1,1.0,1,5.0,1,3.0,,,0.0,5.0,5.0,5.0,5.0,5.0,,4.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,5.0,1.0,3.0,2.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0
121,31,1,6.0,0,3.0,1,4.0,,,0.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0
122,30,1,5.0,0,2.0,1,4.0,,,0.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0
123,59,1,6.0,1,20.0,1,1.0,,,1.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,3.0,,,,,,,3.0,5.0,5.0,5.0,,3.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,3.0
124,46,1,6.0,1,6.0,1,3.0,,,0.0,4.0,2.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0
125,47,1,6.0,1,12.0,1,3.0,,,0.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0
126,46,1,6.0,1,20.0,1,2.0,,,0.0,3.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,2.0,4.0
127,43,1,6.0,1,20.0,1,2.0,,,0.0,2.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,4.0,5.0,1.0,3.0,3.0,5.0,3.0,3.0,5.0,2.0,3.0,4.0,1.0,1.0
128,52,1,1.0,1,22.0,1,2.0,,,0.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,5.0,3.0,4.0,2.0,3.0,3.0,,,1.0,2.0,2.0,,4.0,5.0,5.0,2.0,2.0,2.0,,3.0,3.0,3.0,1.0,4.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,1.0,3.0
129,46,1,5.0,1,17.0,1,1.0,,,0.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,5.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,4.0,5.0,4.0,3.0,3.0,4.0,2.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0
130,35,1,6.0,1,12.0,1,3.0,,,0.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,1.0,3.0,5.0,3.0,5.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,4.0
131,50,1,6.0,1,25.0,1,2.0,,,0.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,2.0,3.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,5.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,2.0,2.0,4.0
132,40,1,6.0,1,13.0,1,3.0,,,0.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,1.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0
133,48,1,6.0,0,13.0,1,3.0,,,0.0,2.0,3.0,3.0,4.0,4.0,1.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0
134,46,1,6.0,1,12.0,1,3.0,,,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,4.0
135,55,1,1.0,1,25.0,1,2.0,,,0.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0,2.0
138,49,1,6.0,1,24.0,1,2.0,,,0.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
140,44,1,5.0,0,19.0,1,3.0,,,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0
142,46,0,3.0,0,4.0,1,6.0,2.0,,0.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
143,54,0,6.0,0,11.0,1,6.0,2.0,,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0
144,47,0,6.0,0,5.0,1,6.0,2.0,,0.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,,4.0,4.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0
145,53,0,6.0,0,10.0,1,6.0,2.0,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0
146,45,0,4.0,0,12.0,1,6.0,2.0,,0.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
147,47,0,5.0,0,8.0,1,6.0,2.0,,0.0,3.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,5.0,5.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0
148,43,0,6.0,0,7.0,1,6.0,1.0,7.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0
149,39,0,6.0,0,15.0,1,6.0,1.0,3.0,0.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,1.0,2.0
150,51,0,1.0,1,5.0,1,6.0,2.0,,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,5.0,3.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,5.0,5.0,3.0,3.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,1.0,5.0
151,45,0,1.0,0,9.0,1,6.0,2.0,,0.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,5.0,5.0,,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0
152,45,0,2.0,0,6.0,1,6.0,2.0,,0.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0
153,39,0,4.0,0,5.0,1,6.0,2.0,,0.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0
154,40,0,2.0,0,12.0,1,6.0,2.0,,0.0,4.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,3.0
155,53,0,4.0,0,7.0,1,6.0,2.0,,0.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,3.0
156,51,0,4.0,0,5.0,1,6.0,2.0,,0.0,3.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0
157,44,0,6.0,0,13.0,1,6.0,1.0,7.0,1.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,,5.0,5.0,,2.0,5.0,4.0,1.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,5.0,3.0,2.0,1.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,4.0
158,52,0,1.0,0,10.0,1,6.0,2.0,,0.0,3.0,2.0,3.0,4.0,3.0,,2.0,3.0,4.0,3.0,2.0,1.0,,,3.0,3.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,5.0
159,46,0,4.0,0,15.0,1,6.0,2.0,,0.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,2.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,5.0
160,43,0,5.0,1,20.0,1,6.0,1.0,2.0,0.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0
161,47,0,6.0,0,14.0,1,6.0,2.0,,0.0,3.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,1.0,2.0
162,43,0,6.0,0,16.0,1,6.0,2.0,,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,3.0,1.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,5.0
163,48,0,6.0,0,15.0,1,6.0,2.0,,0.0,2.0,3.0,5.0,5.0,,3.0,1.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0,4.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,2.0,4.0,1.0,1.0
164,44,0,1.0,1,20.0,1,6.0,1.0,2.0,0.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0
166,41,0,6.0,1,15.0,1,6.0,1.0,7.0,0.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,4.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,2.0
